ref,issue,licensor,style_guide,character,places_used,what_we_have,what_that_code_actually_is,the_problem,what_we_need_from_you,options,YOUR_ANSWER,YOUR_NOTES
B068,One row names several characters,Disney,Pirates of the Caribbean 2: Dead Man's Chest,"Pirates: DMC - Jack, Will, D Jones, B Bill, Pintel & Palifico",1,"Pirates: DMC - Jack, Will, D Jones, B Bill, Pintel & Palifico",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will, d jones, b bill, pintel, palifico.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B069,One row names several characters,Disney,Pirates of the Caribbean 2: Dead Man's Chest,"Pirates: DMC - Jack, Will, Elizabeth, Pintel, Norrington, T Dalma & Guard",1,"Pirates: DMC - Jack, Will, Elizabeth, Pintel, Norrington, T Dalma & Guard",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will, elizabeth, pintel, norrington, t dalma, guard.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B070,One row names several characters,Disney,Pirates of the Caribbean 2: Dead Man's Chest,"Pirates: DMC - Jack, Will, Norrington, D Jones, T Dalma & Guard",1,"Pirates: DMC - Jack, Will, Norrington, D Jones, T Dalma & Guard",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will, norrington, d jones, t dalma, guard.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B071,One row names several characters,Disney,Pirates of the Caribbean 2: Dead Man's Chest,"Pirates: DMC - Jack, Will, Pintel, D Jones, B Bill, Maccus and Palifico",1,"Pirates: DMC - Jack, Will, Pintel, D Jones, B Bill, Maccus and Palifico",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will, pintel, d jones, b bill, maccus, palifico.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B072,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,Pirates 3: At Worlds End - Barbossa & Davy,1,Pirates 3: At Worlds End - Barbossa & Davy,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: barbossa, davy.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B073,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,Pirates 3: At Worlds End - Barbossa & Elizabeth,1,Pirates 3: At Worlds End - Barbossa & Elizabeth,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: barbossa, elizabeth.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B074,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,Pirates 3: At Worlds End - Barbossa & Jack the Monkey,1,Pirates 3: At Worlds End - Barbossa & Jack the Monkey,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: barbossa, jack the monkey.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B075,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,Pirates 3: At Worlds End - Barbossa & Tia,1,Pirates 3: At Worlds End - Barbossa & Tia,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: barbossa, tia.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B076,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,Pirates 3: At Worlds End - Barbossa & Will,1,Pirates 3: At Worlds End - Barbossa & Will,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: barbossa, will.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B077,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,Pirates 3: At Worlds End - Bootstrap & Davy,1,Pirates 3: At Worlds End - Bootstrap & Davy,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: bootstrap, davy.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B078,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,Pirates 3: At Worlds End - Elizabeth & Sao,1,Pirates 3: At Worlds End - Elizabeth & Sao,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: elizabeth, sao.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B079,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,"Pirates 3: At Worlds End - Elizabeth, Sao & Norrington",1,"Pirates 3: At Worlds End - Elizabeth, Sao & Norrington",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: elizabeth, sao, norrington.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B080,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,Pirates 3: At Worlds End - Jack & Barbossa,1,Pirates 3: At Worlds End - Jack & Barbossa,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, barbossa.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B081,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,Pirates 3: At Worlds End - Jack & Bill,1,Pirates 3: At Worlds End - Jack & Bill,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, bill.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B082,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,Pirates 3: At Worlds End - Jack & Davy,1,Pirates 3: At Worlds End - Jack & Davy,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, davy.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B083,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,Pirates 3: At Worlds End - Jack & Elizabeth,1,Pirates 3: At Worlds End - Jack & Elizabeth,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, elizabeth.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B084,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,Pirates 3: At Worlds End - Jack & Gibbs,1,Pirates 3: At Worlds End - Jack & Gibbs,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, gibbs.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B085,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,Pirates 3: At Worlds End - Jack & Will,1,Pirates 3: At Worlds End - Jack & Will,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B086,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,"Pirates 3: At Worlds End - Jack, Barbossa & Davy",1,"Pirates 3: At Worlds End - Jack, Barbossa & Davy",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, barbossa, davy.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B087,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,"Pirates 3: At Worlds End - Jack, Barbossa & Elizabeth",1,"Pirates 3: At Worlds End - Jack, Barbossa & Elizabeth",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, barbossa, elizabeth.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B088,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,"Pirates 3: At Worlds End - Jack, Elizabeth & Barbossa",1,"Pirates 3: At Worlds End - Jack, Elizabeth & Barbossa",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, elizabeth, barbossa.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B089,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,"Pirates 3: At Worlds End - Jack, Will & Barbossa",1,"Pirates 3: At Worlds End - Jack, Will & Barbossa",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will, barbossa.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B090,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,"Pirates 3: At Worlds End - Jack, Will & Elizabeth",1,"Pirates 3: At Worlds End - Jack, Will & Elizabeth",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will, elizabeth.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B091,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,"Pirates 3: At Worlds End - Jack, Will & Gibbs",1,"Pirates 3: At Worlds End - Jack, Will & Gibbs",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will, gibbs.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B092,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,"Pirates 3: At Worlds End - Jack, Will, & Davy",1,"Pirates 3: At Worlds End - Jack, Will, & Davy",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will, davy.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B093,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,"Pirates 3: At Worlds End - Jack, Will, Barbossa & Davy",1,"Pirates 3: At Worlds End - Jack, Will, Barbossa & Davy",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will, barbossa, davy.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B094,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,"Pirates 3: At Worlds End - Jack, Will, Barbossa & Jack the Monkey",1,"Pirates 3: At Worlds End - Jack, Will, Barbossa & Jack the Monkey",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will, barbossa, jack the monkey.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B095,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,"Pirates 3: At Worlds End - Jack, Will, Elizabeth & Barbossa",1,"Pirates 3: At Worlds End - Jack, Will, Elizabeth & Barbossa",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will, elizabeth, barbossa.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B096,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,"Pirates 3: At Worlds End - Jack, Will, Elizabeth & Davy",1,"Pirates 3: At Worlds End - Jack, Will, Elizabeth & Davy",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will, elizabeth, davy.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B097,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,"Pirates 3: At Worlds End - Jack, Will, Elizabeth, Barbossa & Davy",1,"Pirates 3: At Worlds End - Jack, Will, Elizabeth, Barbossa & Davy",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will, elizabeth, barbossa, davy.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B098,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,"Pirates 3: At Worlds End - Jack, Will, Elizabeth, Barbossa & Gibbs",1,"Pirates 3: At Worlds End - Jack, Will, Elizabeth, Barbossa & Gibbs",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will, elizabeth, barbossa, gibbs.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B099,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,"Pirates 3: At Worlds End - Jack, Will, Elizabeth, Barbossa & Sao",1,"Pirates 3: At Worlds End - Jack, Will, Elizabeth, Barbossa & Sao",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will, elizabeth, barbossa, sao.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B100,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,"Pirates 3: At Worlds End - Jack, Will, Elizabeth, Barbossa, Davy & Sao",1,"Pirates 3: At Worlds End - Jack, Will, Elizabeth, Barbossa, Davy & Sao",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will, elizabeth, barbossa, davy, sao.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B101,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,"Pirates 3: At Worlds End - Jack, Will, Elizabeth, Barbossa, Norrington, Bec",1,"Pirates 3: At Worlds End - Jack, Will, Elizabeth, Barbossa, Norrington, Bec",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, will, elizabeth, barbossa, norrington, bec.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B102,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,Pirates 3: At Worlds End - Will & Elizabeth,1,Pirates 3: At Worlds End - Will & Elizabeth,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: will, elizabeth.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B103,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,"Pirates 3: At Worlds End -Jack, Will, Elizabeth, Barbossa & Jack the Monkey",1,"Pirates 3: At Worlds End -Jack, Will, Elizabeth, Barbossa & Jack the Monkey",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: pirates 3 at worlds end jack, will, elizabeth, barbossa, jack the monkey.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B104,One row names several characters,Disney,Pirates of the Caribbean 3: At Worlds End,"Pirates3:AWE-Jack,Will,Liz,Barbossa,Gibbs,Bill,Tia,JackM,Becket,Pintel,Davy",1,"Pirates3:AWE-Jack,Will,Liz,Barbossa,Gibbs,Bill,Tia,JackM,Becket,Pintel,Davy",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: pirates3 awe jack, will, liz, barbossa, gibbs, bill, tia, jackm, becket, pintel, davy.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B105,One row names several characters,Disney,Pirates of the Caribbean 4: On Stranger Tides,"Pirates 4: On Stranger Tides - Anjelica, Barbossa and Blackbeard",1,"Pirates 4: On Stranger Tides - Anjelica, Barbossa and Blackbeard",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: anjelica, barbossa, blackbeard.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B106,One row names several characters,Disney,Pirates of the Caribbean 4: On Stranger Tides,"Pirates 4: On Stranger Tides - Jack Sparrow, Anjelica and Barbossa",1,"Pirates 4: On Stranger Tides - Jack Sparrow, Anjelica and Barbossa",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack sparrow, anjelica, barbossa.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B107,One row names several characters,Disney,Pirates of the Caribbean 4: On Stranger Tides,"Pirates 4: On Stranger Tides - Jack Sparrow, Anjelica and Blackbeard",1,"Pirates 4: On Stranger Tides - Jack Sparrow, Anjelica and Blackbeard",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack sparrow, anjelica, blackbeard.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B108,One row names several characters,Disney,Pirates of the Caribbean 4: On Stranger Tides,"Pirates 4: On Stranger Tides - Jack Sparrow, Anjelica, Barbossa and Blackbe",1,"Pirates 4: On Stranger Tides - Jack Sparrow, Anjelica, Barbossa and Blackbe",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack sparrow, anjelica, barbossa, blackbe.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B109,One row names several characters,Disney,Pirates of the Caribbean 5: Dead Men Tell No Tales,"Pirates 5: Dead Men Tell No Tales - General(No Name,Likeness,Voice Royalty)",1,"Pirates 5: Dead Men Tell No Tales - General(No Name,Likeness,Voice Royalty)",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: general no name, likeness, voice royalty.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B110,One row names several characters,Disney,Pirates of the Caribbean 5: Dead Men Tell No Tales,"Pirates 5: Dead Men Tell No Tales - Jack, Barbosa, H Turner, Carina",1,"Pirates 5: Dead Men Tell No Tales - Jack, Barbosa, H Turner, Carina",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, barbosa, h turner, carina.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B111,One row names several characters,Disney,Pirates of the Caribbean 5: Dead Men Tell No Tales,"Pirates 5: Dead Men Tell No Tales - Jack, Barbosa, Salazar, Carina, HTurner",1,"Pirates 5: Dead Men Tell No Tales - Jack, Barbosa, Salazar, Carina, HTurner",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, barbosa, salazar, carina, hturner.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B112,One row names several characters,Disney,Pirates of the Caribbean 5: Dead Men Tell No Tales,"Pirates 5: Dead Men Tell No Tales - Jack, Salazar, Barb, HT, Carina, Monkey",1,"Pirates 5: Dead Men Tell No Tales - Jack, Salazar, Barb, HT, Carina, Monkey",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: jack, salazar, barb, ht, carina, monkey.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B113,One row names several characters,Disney,Pirates of the Caribbean: Curse of the Black Pearl,Pirates of the Caribbean-JDepp & Obloom,1,Pirates of the Caribbean-JDepp & Obloom,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: pirates of the caribbean jdepp, obloom.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B114,One row names several characters,Disney,Pixar Collection,"Pixar Collection - A Bugs Life, Finding Nemo, Toy Story, UP",1,"Pixar Collection - A Bugs Life, Finding Nemo, Toy Story, UP",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: a bugs life, finding nemo, toy story, up.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B115,One row names several characters,Disney,Pixar Collection,"Pixar Collection - A Bugs Life, Toy Story, UP, Wall-E",1,"Pixar Collection - A Bugs Life, Toy Story, UP, Wall-E",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: a bugs life, toy story, up, wall e.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B116,One row names several characters,Disney,Pixar Collection,"Pixar Collection - Finding Nemo, Incredibles, Toy Story",1,"Pixar Collection - Finding Nemo, Incredibles, Toy Story",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: finding nemo, incredibles, toy story.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B117,One row names several characters,Disney,Pixar Collection,"Pixar Collection - Finding Nemo, Incredibles, Toy Story, Wall-E",1,"Pixar Collection - Finding Nemo, Incredibles, Toy Story, Wall-E",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: finding nemo, incredibles, toy story, wall e.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B118,One row names several characters,Disney,Pixar Collection,"Pixar Collection - Good Dino, Cars, Finding Dory, Inside Out, Brave",1,"Pixar Collection - Good Dino, Cars, Finding Dory, Inside Out, Brave",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: good dino, cars, finding dory, inside out, brave.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B119,One row names several characters,Disney,Pixar Collection,"Pixar Collection - Incredibles, Nemo, Brave, Ratatouille",1,"Pixar Collection - Incredibles, Nemo, Brave, Ratatouille",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: incredibles, nemo, brave, ratatouille.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B120,One row names several characters,Disney,Pixar Collection,"Pixar Collection - Rat, WallE, Cars, ToyStory, Mon, Incredi",1,"Pixar Collection - Rat, WallE, Cars, ToyStory, Mon, Incredi",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: rat, walle, cars, toystory, mon, incredi.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B121,One row names several characters,Disney,Suite Life of Zack and Cody,"Suite Life of Zack and Cody - Ashely, Brenda, Brian, Cole, Dylan, Kim & Phi",1,"Suite Life of Zack and Cody - Ashely, Brenda, Brian, Cole, Dylan, Kim & Phi",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: ashely, brenda, brian, cole, dylan, kim, phi.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B122,One row names several characters,Disney,Suite Life of Zack and Cody,Suite Life of Zack and Cody - Ashley Tisdale & Brenda Song,1,Suite Life of Zack and Cody - Ashley Tisdale & Brenda Song,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: ashley tisdale, brenda song.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B123,One row names several characters,Disney,Suite Life of Zack and Cody,"Suite Life of Zack and Cody - Ashley, Brenda, Cole & Dylan",1,"Suite Life of Zack and Cody - Ashley, Brenda, Cole & Dylan",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: ashley, brenda, cole, dylan.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B124,One row names several characters,Disney,Toy Story 3,Toy Story 3 - 3D Slinky Dog & Barbie Car,1,Toy Story 3 - 3D Slinky Dog & Barbie Car,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: 3d slinky dog, barbie car.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B125,One row names several characters,Disney,Toy Story 3,Toy Story 3 - 3D Slinky Dog & Chatter Phone,1,Toy Story 3 - 3D Slinky Dog & Chatter Phone,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: 3d slinky dog, chatter phone.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B126,One row names several characters,Disney,Toy Story 3,Toy Story 3 - 3D Slinky Dog & Ken and/or Barbie,1,Toy Story 3 - 3D Slinky Dog & Ken and/or Barbie,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: 3d slinky dog, ken, or barbie.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B127,One row names several characters,Disney,Toy Story 3,Toy Story 3 - 3D Slinky Dog & Mr Potato Head and/or Mrs Potato Head,1,Toy Story 3 - 3D Slinky Dog & Mr Potato Head and/or Mrs Potato Head,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: 3d slinky dog, mr potato head, or mrs potato head.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B128,One row names several characters,Disney,Toy Story 3,Toy Story 3 - 3D Slinky Dog Barbie Car Chatter Phone & Mr PH and/or Mrs PH,1,Toy Story 3 - 3D Slinky Dog Barbie Car Chatter Phone & Mr PH and/or Mrs PH,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: 3d slinky dog barbie car chatter phone, mr ph, or mrs ph.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B129,One row names several characters,Disney,Toy Story 3,"Toy Story 3 - 3D Slinky Dog, Barbie Car & Chatter Phone",1,"Toy Story 3 - 3D Slinky Dog, Barbie Car & Chatter Phone",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: 3d slinky dog, barbie car, chatter phone.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B130,One row names several characters,Disney,Toy Story 3,"Toy Story 3 - 3D Slinky Dog, Barbie Car & Mr PH and/or Mrs PH",1,"Toy Story 3 - 3D Slinky Dog, Barbie Car & Mr PH and/or Mrs PH",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: 3d slinky dog, barbie car, mr ph, or mrs ph.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B131,One row names several characters,Disney,Toy Story 3,"Toy Story 3 - 3D Slinky Dog, Chatter Phone & Mr PH and/or Mrs PH",1,"Toy Story 3 - 3D Slinky Dog, Chatter Phone & Mr PH and/or Mrs PH",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: 3d slinky dog, chatter phone, mr ph, or mrs ph.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B132,One row names several characters,Disney,Toy Story 3,"Toy Story 3 - 3D Slinky Dog, Ken and/or Barbie & Barbie Car",1,"Toy Story 3 - 3D Slinky Dog, Ken and/or Barbie & Barbie Car",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: 3d slinky dog, ken, or barbie, barbie car.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
